INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('UYKsjsvIdg', '0fCmDIi0Yj', 'SFvksuKwiG', 'AOvmTnFusJ', 20, 0, 'JyfAU', '7364893300', 'qEOcxKKMzZ@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('HrTjxvNSej', 'UrbDPzvQ9a', 'pzjTInShRb', 'QBqAroIzSR', 44, 0, 'QCqFL', '9582259661', 'TpyidCXoHn@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('jEArrTtvRu', '2IcF28ENWb', 'iNSsvmPYAY', 'aeYphTTCJa', 50, 1, 'sEooF', '7619706755', 'bVJDVfhGeu@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('zWartlcXyv', 'RVS4U6Vf3B', 'vXpmtYaWcd', 'nSEIidAmJd', 41, 1, 'gagIn', '9981821688', 'xQhnahuBfX@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('sDpYbXyEQP', '23IUy6vJhH', 'njDXWCRZlr', 'zsEHYbdxGa', 64, 0, 'xAELc', '8776235767', 'kjYexRzjno@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('EFwaltQjcM', 'xL5KdbLAV0', 'DTabMWpnyG', 'wjhZDbLhaX', 64, 1, 'sckGm', '7701741260', 'mCVxNcuuGd@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('QzqhBXAZbe', 'zz03nJou9v', 'hdfssDkOOj', 'jEyHDGXmoa', 42, 0, 'eXtDV', '2811844146', 'TrlHpXHKOO@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('NFtnhokPnG', 'bK2NOJnoJD', 'wXWSPqlweZ', 'LAJXfAnRUx', 45, 0, 'TIBHb', '6467801446', 'UGGbUtfWqr@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('eSvbmUCzZC', 'APjGwDyRw2', 'fdUwpEubyU', 'ZBYdnsXcIH', 58, 0, 'vweBQ', '1127438761', 'nLdrZghBJc@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('ShijBogqKc', 'eocxtYsyl8', 'CLFLvvIjOA', 'xnIJCAwvdj', 22, 1, 'vqjUR', '3481692413', 'hvBWbazBCl@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('HJvVnNCmpa', 'mBj581haCZ', 'mjiFSYrrtN', 'rFFOPPnOoF', 60, 1, 'rQqHU', '8930139019', 'vKdIDAbefG@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('GrhJUWqCIq', 'f2Vb4RbOvD', 'zOaodQWZWJ', 'cquqQceXRb', 41, 1, 'dlaAQ', '7821324138', 'NEPxRxpwSu@example.com');
INSERT INTO users (username, password, first_name, last_name, age, admin, nickname, phone_number, email) VALUES ('MHJmGSiXtH', 'w5tMpo6p5c', 'ytAczgcxfG', 'xlfvAwwnVS', 29, 1, 'zCmBP', '1720986213', 'RRigdKioyN@example.com');
